name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Folarin Balogun,[ 1.25  1.25 74.5 ],0.0,81.0,0.0,81.0
CÃ©dric Alves Soares,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Mohamed Elneny,[ 21.25  22.25 186.5 ],0.0,234.0,3.0,231.0
FÃ¡bio Ferreira Vieira,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Gabriel dos Santos MagalhÃ£es,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kai Havertz,[85.25 43.25 24.5 ],32.0,125.0,21.0,136.0
Gabriel Fernando de Jesus,[124.25  88.25  73.5 ],73.0,217.0,49.0,241.0
Jorge Luiz Frello Filho,[137.25  44.25  48.5 ],21.0,213.0,11.0,223.0
Jakub Kiwior,[16.25 11.25 30.5 ],2.0,60.0,3.0,59.0
Marcus Oliveira Alencar,[ 0.25  1.25 75.5 ],0.0,81.0,0.0,81.0
Gabriel Martinelli Silva,[45.25 26.25  5.5 ],21.0,60.0,14.0,67.0
Eddie Nketiah,[19.25 38.25 19.5 ],9.0,72.0,6.0,75.0
Martin Ãdegaard,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Thomas Partey,[66.25 29.25 53.5 ],5.0,148.0,4.0,149.0
Nicolas PÃ©pÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Aaron Ramsdale,[140.25  13.25  70.5 ],0.0,228.0,1.0,227.0
RÃºnar Alex RÃºnarsson,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Bukayo Saka,[141.25  29.25  38.5 ],47.0,166.0,44.0,169.0
William Saliba,[52.25 13.25 87.5 ],4.0,153.0,2.0,155.0
Emile Smith Rowe,[42.25 38.25 95.5 ],12.0,168.0,11.0,169.0
Kieran Tierney,[ 61.25  30.25 100.5 ],3.0,193.0,10.0,186.0
Takehiro Tomiyasu,[31.25 33.25 47.5 ],2.0,114.0,3.0,113.0
Leandro Trossard,[114.25  56.25  20.5 ],38.0,157.0,30.0,165.0
Benjamin White,[58.25 17.25  1.5 ],6.0,75.0,10.0,71.0
Granit Xhaka,[201.25  24.25  80.5 ],17.0,293.0,28.0,282.0
Oleksandr Zinchenko,[ 98.25  32.25 169.5 ],2.0,302.0,11.0,293.0
David Raya Martin,[80.25 14.25 20.5 ],0.0,119.0,0.0,119.0
Declan Rice,[212.25  30.25  45.5 ],17.0,275.0,22.0,270.0
Reiss Nelson,[  9.25  40.25 218.5 ],4.0,268.0,4.0,268.0
JurriÃ«n Timber,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Karl Hein,[  0.25   0.25 103.5 ],0.0,108.0,0.0,108.0
Charles Sagoe,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Reuell Walters,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Bradley Ibrahim,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Myles Lewis-Skelly,[ 0.25  0.25 22.5 ],0.0,27.0,0.0,27.0
Ethan Nwaneri,[ 0.25  2.25 50.5 ],0.0,57.0,0.0,57.0
Mauro Bandeira,[ 0.25  0.25 17.5 ],0.0,22.0,0.0,22.0
James Sweet,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Alexandre Moreno Lopera,[25.25 15.25 18.5 ],2.0,61.0,3.0,60.0
Leon Bailey,[42.25 44.25 28.5 ],15.0,104.0,19.0,100.0
Emiliano BuendÃ­a Stati,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Matty Cash,[32.25 23.25 21.5 ],2.0,79.0,4.0,77.0
Calum Chambers,[ 95.25  29.25 181.5 ],6.0,304.0,6.0,304.0
Philippe Coutinho Correia,[17.25 24.25 54.5 ],6.0,94.0,3.0,97.0
Keinan Davis,[  5.25  29.25 156.5 ],1.0,194.0,2.0,193.0
Leander Dendoncker,[101.25  51.25  76.5 ],10.0,223.0,6.0,227.0
Diego Carlos Santos Silva,[20.25 10.25 46.5 ],0.0,81.0,0.0,81.0
Lucas Digne,[161.25  29.25  37.5 ],6.0,226.0,30.0,202.0
Douglas Luiz Soares de Paulo,[150.25  25.25  15.5 ],20.0,175.0,19.0,176.0
Jhon DurÃ¡n,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kortney Hause,[ 28.25   4.25 196.5 ],3.0,230.0,0.0,233.0
Tim Iroegbunam,[ 2.25 10.25 89.5 ],0.0,106.0,0.0,106.0
Boubacar Kamara,[34.25 10.25 32.5 ],0.0,81.0,2.0,79.0
Ezri Konsa Ngoyo,[143.25  20.25  27.5 ],6.0,189.0,3.0,192.0
Emiliano MartÃ­nez Romero,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
John McGinn,[151.25  18.25  21.5 ],16.0,179.0,24.0,171.0
Tyrone Mings,[135.25  22.25 147.5 ],6.0,303.0,11.0,298.0
Robin Olsen,[ 14.25   3.25 111.5 ],0.0,133.0,0.0,133.0
Jaden Philogene-Bidace,[  0.25   3.25 124.5 ],0.0,132.0,0.0,132.0
Jacob Ramsey,[61.25 46.25 44.5 ],13.0,143.0,10.0,146.0
Morgan Sanson,[  6.25  15.25 113.5 ],0.0,139.0,0.0,139.0
Viljami Sinisalo,[ 0.25  0.25 92.5 ],0.0,97.0,0.0,97.0
Youri Tielemans,[142.25  41.25  21.5 ],23.0,186.0,28.0,181.0
Bertrand TraorÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ollie Watkins,[130.25  16.25   6.5 ],59.0,98.0,38.0,119.0
Wesley Moraes Ferreira da Silva,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Pau Torres,[27.25  2.25  9.5 ],2.0,41.0,0.0,43.0
Moussa Diaby,[25.25 13.25  0.5 ],6.0,37.0,11.0,32.0
Omari Kellyman,[ 0.25  2.25 36.5 ],0.0,43.0,0.0,43.0
Filip Marschall,[ 0.25  0.25 82.5 ],0.0,87.0,0.0,87.0
NicolÃ² Zaniolo,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Oliwier Zych,[ 0.25  0.25 53.5 ],0.0,58.0,0.0,58.0
ClÃ©ment Lenglet,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Sam Proctor,[ 0.25  0.25 22.5 ],0.0,27.0,0.0,27.0
Tommi O'Reilly,[ 0.25  0.25 41.5 ],0.0,46.0,0.0,46.0
James Wright,[ 0.25  0.25 29.5 ],0.0,34.0,0.0,34.0
Kaine Kesler-Hayden,[ 0.25  3.25 14.5 ],0.0,22.0,0.0,22.0
Morgan Rogers,[8.25 3.25 5.5 ],3.0,18.0,1.0,20.0
Joe Gauci,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Finley Munroe,[0.25 1.25 4.5 ],0.0,10.0,0.0,10.0
Kadan Young,[ 0.25  0.25 24.5 ],0.0,29.0,0.0,29.0
Lander Emery,[0.25 0.25 1.5 ],0.0,6.0,0.0,6.0
Jaidon Anthony,[12.25 21.25 43.5 ],3.0,78.0,1.0,80.0
Philip Billing,[91.25 51.25 48.5 ],12.0,183.0,6.0,189.0
David Brooks,[39.25 19.25 94.5 ],9.0,148.0,7.0,150.0
Ryan Christie,[48.25 21.25  7.5 ],1.0,80.0,7.0,74.0
Lewis Cook,[88.25 48.25 92.5 ],0.0,233.0,10.0,223.0
Siriki DembÃ©lÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ryan Fredericks,[ 43.25  32.25 153.5 ],2.0,231.0,4.0,229.0
James Hill,[ 1.25  4.25 71.5 ],0.0,81.0,0.0,81.0
Lloyd Kelly,[42.25 12.25 60.5 ],0.0,119.0,3.0,116.0
Gavin Kilkenny,[ 0.25  0.25 63.5 ],0.0,68.0,0.0,68.0
Justin Kluivert,[26.25  6.25  6.5 ],7.0,36.0,1.0,42.0
Jamal Lowe,[ 0.25  2.25 74.5 ],0.0,81.0,0.0,81.0
Emiliano Marcondes,[ 0.25  1.25 75.5 ],0.0,81.0,0.0,81.0
Chris Mepham,[35.25 26.25 68.5 ],1.0,133.0,2.0,132.0
Kieffer Moore,[ 5.25 30.25 41.5 ],5.0,76.0,0.0,81.0
Norberto Murara Neto,[51.25  8.25 16.5 ],0.0,80.0,0.0,80.0
Dango Ouattara,[27.25 22.25  8.5 ],2.0,60.0,5.0,57.0
Ben Pearson,[ 0.25  7.25 69.5 ],0.0,81.0,0.0,81.0
Darren Randolph,[ 27.25   0.25 218.5 ],0.0,250.0,0.0,250.0
Joe Rothwell,[15.25 16.25 45.5 ],0.0,81.0,1.0,80.0
Antoine Semenyo,[27.25 17.25 12.5 ],9.0,52.0,4.0,57.0
Marcos Senesi,[45.25 17.25 13.5 ],6.0,74.0,5.0,75.0
Adam Smith,[148.25  29.25  51.5 ],3.0,230.0,14.0,219.0
Dominic Solanke,[82.25 52.25 87.5 ],29.0,197.0,18.0,208.0
Marcus Tavernier,[30.25 23.25 23.5 ],8.0,73.0,8.0,73.0
Hamed TraorÃ¨,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Mark Travers,[12.25  7.25 97.5 ],0.0,121.0,0.0,121.0
Illia Zabarnyi,[40.25  2.25 14.5 ],1.0,60.0,0.0,61.0
Milos Kerkez,[22.25  6.25 10.5 ],0.0,43.0,2.0,41.0
IonuÈ Radu,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ben Greenwood,[ 0.25  0.25 56.5 ],0.0,61.0,0.0,61.0
Max Aarons,[45.25  9.25 22.5 ],0.0,81.0,3.0,78.0
Alex Scott,[11.25 12.25 15.5 ],1.0,42.0,1.0,42.0
Tyler Adams,[13.25 14.25 47.5 ],0.0,79.0,0.0,79.0
Luis Sinisterra,[ 7.25 13.25 14.5 ],2.0,37.0,2.0,37.0
Romain Faivre,[ 0.25  5.25 13.5 ],0.0,23.0,0.0,23.0
Max Kinsey,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Enes Ãnal,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Dominic Sadi,[ 0.25  1.25 35.5 ],0.0,41.0,0.0,41.0
Michael Dacosta Gonzalez,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Callan McKenna,[0.25 0.25 6.5 ],0.0,11.0,0.0,11.0
Kristoffer Ajer,[47.25 14.25 53.5 ],3.0,116.0,4.0,115.0
Ellery Balcombe,[  0.25   0.25 114.5 ],0.0,119.0,0.0,119.0
Shandon Baptiste,[11.25 44.25 59.5 ],2.0,117.0,3.0,116.0
Mads Bech SÃ¸rensen,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Mads Bidstrup,[  0.25   4.25 110.5 ],0.0,119.0,0.0,119.0
Sergi CanÃ³s TenÃ©s,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Nathan Collins,[56.25 21.25 37.5 ],3.0,116.0,1.0,118.0
Matthew Cox,[ 0.25  0.25 98.5 ],0.0,103.0,0.0,103.0
Mikkel Damsgaard,[15.25 34.25 26.5 ],0.0,80.0,4.0,76.0
Josh Dasilva,[ 7.25 32.25 37.5 ],4.0,77.0,2.0,79.0
Halil DerviÅoÄlu,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Mark Flekken,[37.25  0.25  1.5 ],0.0,43.0,1.0,42.0
Charlie Goode,[  5.25   1.25 108.5 ],0.0,119.0,0.0,119.0
Rico Henry,[59.25 17.25 38.5 ],3.0,116.0,4.0,115.0
Aaron Hickey,[24.25 11.25 41.5 ],0.0,81.0,3.0,78.0
Vitaly Janelt,[77.25 27.25 10.5 ],8.0,111.0,5.0,114.0
Mathias Jensen,[67.25 33.25 14.5 ],8.0,111.0,12.0,107.0
Keane Lewis-Potter,[15.25 25.25 36.5 ],3.0,78.0,3.0,78.0
Bryan Mbeumo,[77.25 21.25 16.5 ],22.0,97.0,23.0,96.0
Ben Mee,[221.25  16.25  67.5 ],12.0,297.0,9.0,300.0
Christian NÃ¸rgaard,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Frank Onyeka,[28.25 39.25 47.5 ],1.0,118.0,7.0,112.0
Ethan Pinnock,[81.25 10.25 23.5 ],6.0,113.0,1.0,118.0
Mads Roerslev Rasmussen,[42.25 33.25 39.5 ],2.0,117.0,3.0,116.0
Kevin Schade,[10.25 19.25 29.5 ],2.0,61.0,3.0,60.0
Thomas Strakosha,[ 1.25  1.25 74.5 ],0.0,81.0,0.0,81.0
Ivan Toney,[68.25 15.25 31.5 ],36.0,83.0,12.0,107.0
Ryan Trevitt,[ 0.25  0.25 69.5 ],0.0,74.0,0.0,74.0
Yoane Wissa,[51.25 51.25 12.5 ],26.0,93.0,10.0,109.0
Yegor Yarmoliuk,[ 6.25 18.25  3.5 ],0.0,32.0,0.0,32.0
Mathias Jorgensen,[86.25 16.25 82.5 ],5.0,184.0,5.0,184.0
Neal Maupay,[102.25  58.25  30.5 ],33.0,162.0,11.0,184.0
Sergio ReguilÃ³n,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Michael Olakigbe,[ 0.25  7.25 38.5 ],0.0,50.0,0.0,50.0
Ethan Brierley,[ 0.25  0.25 36.5 ],0.0,41.0,0.0,41.0
Saman Ghoddos,[11.25 40.25 60.5 ],2.0,114.0,2.0,114.0
Ji-Soo Kim,[ 0.25  0.25 31.5 ],0.0,36.0,0.0,36.0
Valintino Adedokun,[ 0.25  0.25 28.5 ],0.0,33.0,0.0,33.0
Myles Peart-Harris,[ 0.25  3.25 46.5 ],0.0,54.0,0.0,54.0
Vincent Angelini,[ 0.25  0.25 48.5 ],0.0,53.0,0.0,53.0
HÃ¡kon Valdimarsson,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Benjamin Fredrick,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
Benjamin Arthur,[ 0.25  0.25 11.5 ],0.0,16.0,0.0,16.0
Yunus Konak,[0.25 0.25 1.5 ],0.0,6.0,0.0,6.0
Simon Adingra,[25.25  6.25  7.5 ],6.0,37.0,1.0,42.0
Steven Alzate,[ 25.25  18.25 143.5 ],1.0,190.0,0.0,191.0
Yasin Ayari,[ 1.25  2.25 54.5 ],0.0,62.0,0.0,62.0
Facundo Buonanotte,[23.25 17.25 20.5 ],4.0,61.0,2.0,63.0
Aaron Connolly,[ 21.25  24.25 104.5 ],5.0,149.0,4.0,150.0
Mahmoud Dahoud,[ 6.25  3.25 29.5 ],0.0,43.0,1.0,42.0
Lewis Dunk,[227.25  14.25  25.5 ],16.0,255.0,7.0,264.0
Julio Enciso,[12.25 20.25 44.5 ],4.0,77.0,5.0,76.0
Pervis EstupiÃ±Ã¡n,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Evan Ferguson,[25.25 22.25 49.5 ],12.0,89.0,3.0,98.0
Billy Gilmour,[ 56.25  23.25 108.5 ],0.0,192.0,5.0,187.0
Pascal GroÃ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
JoÃ£o Pedro Junqueira de Jesus,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
MichaÅ Karbownik,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kacper KozÅowski,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Adam Lallana,[ 85.25  81.25 138.5 ],12.0,297.0,13.0,296.0
Tariq Lamptey,[45.25 44.25 82.5 ],1.0,175.0,9.0,167.0
Solly March,[25.25 15.25 36.5 ],9.0,72.0,11.0,70.0
Tom McGill,[ 0.25  0.25 48.5 ],0.0,53.0,0.0,53.0
James Milner,[111.25 106.25  87.5 ],14.0,295.0,20.0,289.0
Kaoru Mitoma,[37.25 15.25 24.5 ],10.0,71.0,16.0,65.0
Jakub Moder,[33.25 24.25 78.5 ],0.0,140.0,3.0,137.0
Jeremy Sarmiento Morante,[ 1.25  8.25 67.5 ],0.0,81.0,2.0,79.0
Kjell Scherpen,[  0.25   0.25 114.5 ],0.0,119.0,0.0,119.0
Jason Steele,[ 33.25   0.25 157.5 ],0.0,195.0,1.0,194.0
Deniz Undav,[ 6.25 16.25 54.5 ],5.0,76.0,2.0,79.0
Jan Paul van Hecke,[29.25  7.25 40.5 ],0.0,81.0,0.0,81.0
JoÃ«l Veltman,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Bart Verbruggen,[21.25  0.25 17.5 ],0.0,43.0,0.0,43.0
Adam Webster,[95.25 29.25 66.5 ],6.0,189.0,1.0,194.0
Danny Welbeck,[ 90.25  89.25 120.5 ],33.0,271.0,23.0,281.0
Andi Zeqiri,[  0.25   9.25 101.5 ],0.0,115.0,0.0,115.0
Igor Julio dos Santos de Paulo,[17.25  7.25 14.5 ],0.0,43.0,0.0,43.0
Jack Hinshelwood,[ 8.25  5.25 48.5 ],3.0,63.0,0.0,66.0
Carlos Baleba,[15.25 12.25  8.5 ],0.0,40.0,0.0,40.0
Anssumane Fati Vieira,[ 3.25 16.25 16.5 ],2.0,38.0,1.0,39.0
Mark OâMahony,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Benicio Baker-Boaitey,[ 0.25  5.25 22.5 ],0.0,32.0,0.0,32.0
Ben Jackson,[ 0.25  0.25 26.5 ],0.0,31.0,0.0,31.0
Joshua Duffus,[ 0.25  0.25 26.5 ],0.0,31.0,0.0,31.0
Leigh Kavanagh,[ 0.25  0.25 25.5 ],0.0,30.0,0.0,30.0
Luca Barrington,[ 0.25  0.25 24.5 ],0.0,29.0,0.0,29.0
Cameron Peupion,[ 0.25  1.25 25.5 ],0.0,31.0,0.0,31.0
ValentÃ­n Barco,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Samy Chouchane,[ 0.25  0.25 10.5 ],0.0,15.0,0.0,15.0
Odeluga Offiah,[ 1.25  5.25 35.5 ],0.0,46.0,0.0,46.0
NoÃ«l Atom,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Enock Agyei,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Ameen Al-Dakhil,[12.25  1.25 25.5 ],1.0,42.0,0.0,43.0
Samuel Bastien,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Manuel Benson Hedilazio,[ 1.25  7.25 30.5 ],0.0,43.0,0.0,43.0
Jordan Beyer,[15.25  0.25 23.5 ],0.0,43.0,1.0,42.0
Josh Brownhill,[95.25 16.25 17.5 ],6.0,127.0,6.0,127.0
Darko Churlinov,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Jack Cork,[164.25  11.25  91.5 ],4.0,267.0,4.0,267.0
Dara Costelloe,[ 0.25  0.25 46.5 ],0.0,51.0,0.0,51.0
Josh Cullen,[23.25  4.25 65.5 ],2.0,95.0,4.0,93.0
CJ Egan-Riley,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Hjalmar Ekdal,[ 5.25  3.25 30.5 ],0.0,43.0,0.0,43.0
Lyle Foster,[22.25  2.25 14.5 ],5.0,38.0,3.0,40.0
Denis Franchi,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
JÃ³hann Berg Gudmundsson,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Luke McNally,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Arijanet Muric,[10.25  0.25 64.5 ],0.0,79.0,0.0,79.0
Dara O'Shea,[55.25  6.25 15.5 ],3.0,78.0,4.0,77.0
Michael Obafemi,[  7.25  27.25 161.5 ],4.0,196.0,3.0,197.0
Bailey Peacock-Farrell,[  4.25   0.25 148.5 ],0.0,157.0,0.0,157.0
Connor Roberts,[29.25 10.25 60.5 ],1.0,103.0,2.0,102.0
Jay Rodriguez,[92.25 86.25 50.5 ],25.0,208.0,12.0,221.0
Charlie Taylor,[148.25  13.25  67.5 ],1.0,232.0,8.0,225.0
Bobby Thomas,[  0.25   0.25 123.5 ],0.0,128.0,0.0,128.0
Scott Twine,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Lawrence Vigouroux,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Victor da Silva,[26.25  6.25  6.5 ],0.0,43.0,3.0,40.0
Wout Weghorst,[27.25 10.25 43.5 ],2.0,83.0,4.0,81.0
Anass Zaroury,[ 1.25  5.25 32.5 ],0.0,43.0,0.0,43.0
David Datro Fofana,[11.25  7.25 42.5 ],4.0,61.0,1.0,64.0
Sander Berge,[57.25  9.25 24.5 ],3.0,92.0,4.0,91.0
Zeki Amdouni,[27.25  7.25  4.5 ],5.0,38.0,1.0,42.0
James Trafford,[28.25  0.25 43.5 ],0.0,76.0,0.0,76.0
Nathan Redmond,[157.25  50.25  97.5 ],21.0,288.0,22.0,287.0
Luca Koleosho,[13.25  2.25 23.5 ],1.0,42.0,2.0,41.0
Jacob Bruun Larsen,[16.25 16.25  6.5 ],6.0,37.0,0.0,43.0
Owen Dodgson,[ 0.25  0.25 75.5 ],0.0,80.0,0.0,80.0
Wilson Odobert,[25.25  4.25  8.5 ],3.0,39.0,4.0,38.0
Hannes Delcroix,[ 5.25  7.25 25.5 ],0.0,42.0,0.0,42.0
Aaron Ramsey,[ 50.25  39.25 100.5 ],12.0,182.0,20.0,174.0
Han-Noah Massengo,[ 0.25  3.25 33.5 ],0.0,41.0,0.0,41.0
Mike TrÃ©sor,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Lorenz Assignon,[15.25  0.25  1.5 ],1.0,20.0,2.0,19.0
Maxime Esteve,[15.25  1.25  0.5 ],0.0,21.0,0.0,21.0
MoisÃ©s Caicedo Corozo,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Robert SÃ¡nchez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ethan Ampadu,[ 24.25   2.25 232.5 ],0.0,263.0,0.0,263.0
Andrey Nascimento dos Santos,[ 0.25  1.25 56.5 ],0.0,62.0,0.0,62.0
Kepa Arrizabalaga,[102.25   7.25 119.5 ],0.0,233.0,0.0,233.0
Pierre-Emerick Aubameyang,[116.25  27.25  94.5 ],69.0,173.0,20.0,222.0
CÃ©sar Azpilicueta,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Abdul Rahman Baba,[ 0.25  0.25 76.5 ],0.0,81.0,0.0,81.0
BenoÃ®t Badiashile,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Marcus Bettinelli,[  7.25   0.25 173.5 ],0.0,185.0,0.0,185.0
Trevoh Chalobah,[36.25 22.25 66.5 ],4.0,125.0,1.0,128.0
Ben Chilwell,[20.25 16.25 40.5 ],2.0,79.0,5.0,76.0
Carney Chukwuemeka,[ 6.25 31.25 93.5 ],1.0,134.0,2.0,133.0
Levi Colwill,[33.25  7.25 36.5 ],1.0,80.0,3.0,78.0
Marc Cucurella Saseta,[30.25 15.25 31.5 ],0.0,81.0,5.0,76.0
Enzo FernÃ¡ndez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Wesley Fofana,[42.25 10.25 97.5 ],1.0,153.0,1.0,153.0
Conor Gallagher,[110.25  26.25  14.5 ],18.0,137.0,17.0,138.0
Malo Gusto,[19.25  8.25 11.5 ],0.0,43.0,6.0,37.0
Reece James,[73.25 35.25 82.5 ],7.0,188.0,18.0,177.0
Romelu Lukaku Bolingoli,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Noni Madueke,[20.25 15.25 21.5 ],6.0,55.0,3.0,58.0
Mykhailo Mudryk,[25.25 21.25 11.5 ],5.0,57.0,7.0,55.0
Nicolas Jackson,[31.25  4.25  3.5 ],14.0,29.0,6.0,37.0
Christopher Nkunku,[ 2.25  9.25 27.5 ],3.0,40.0,0.0,43.0
Christian Pulisic,[55.25 43.25 92.5 ],20.0,175.0,14.0,181.0
Malang Sarr,[  6.25   2.25 106.5 ],0.0,119.0,0.0,119.0
Gabriel SÅonina,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Raheem Sterling,[203.25  50.25  52.5 ],99.0,211.0,80.0,230.0
Thiago Emiliano da Silva,[72.25 18.25 24.5 ],6.0,113.0,4.0,115.0
