name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Hakim Ziyech,[32.25 32.25 88.5 ],6.0,151.0,9.0,148.0
Cole Palmer,[ 32.25  20.25 107.5 ],22.0,142.0,15.0,149.0
Ãngelo Gabriel Borges Damaceno,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ian Maatsen,[ 1.25 11.25 26.5 ],0.0,43.0,0.0,43.0
Axel Disasi,[29.25  2.25  7.5 ],2.0,41.0,0.0,43.0
Lesley Ugochukwu,[ 3.25  9.25 26.5 ],0.0,43.0,0.0,43.0
Mason Burstow,[ 0.25  2.25 36.5 ],0.0,43.0,0.0,43.0
Lucas BergstrÃ¶m,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
RomÃ©o Lavia,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Bashir Humphreys,[ 0.25  0.25 61.5 ],0.0,66.0,0.0,66.0
Deivid Washington de Souza EugÃªnio,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Eddie Beach,[ 0.25  0.25 36.5 ],0.0,41.0,0.0,41.0
Diego Manuel Jadon da Silva Moreira,[ 0.25  0.25 36.5 ],0.0,41.0,0.0,41.0
ÄorÄe PetroviÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Alfie Gilchrist,[ 2.25  9.25 26.5 ],1.0,41.0,0.0,42.0
Ronnie Stutter,[ 0.25  0.25 34.5 ],0.0,39.0,0.0,39.0
Alex Matos,[ 0.25  1.25 33.5 ],0.0,39.0,0.0,39.0
Josh Brooking,[ 0.25  0.25 32.5 ],0.0,37.0,0.0,37.0
Leo Castledine,[ 0.25  0.25 24.5 ],0.0,29.0,0.0,29.0
Cesare Casadei,[ 0.25 11.25  6.5 ],0.0,22.0,0.0,22.0
IshÃ© Samuels-Smith,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ollie Harrison,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Jimi Tauriainen,[ 0.25  1.25 12.5 ],0.0,18.0,0.0,18.0
Josh Acheampong,[ 0.25  1.25 11.5 ],0.0,17.0,0.0,17.0
Teddy Sharman-Lowe,[0.25 0.25 9.5 ],0.0,14.0,0.0,14.0
Tyrique George,[0.25 0.25 8.5 ],0.0,13.0,0.0,13.0
Kiano Dyer,[0.25 0.25 8.5 ],0.0,13.0,0.0,13.0
Ted Curd,[0.25 0.25 6.5 ],0.0,11.0,0.0,11.0
Zak Sturge,[0.25 0.25 6.5 ],0.0,11.0,0.0,11.0
Rob Holding,[ 75.25  23.25 207.5 ],2.0,308.0,2.0,308.0
Naouirou Ahamada,[ 0.25 28.25 28.5 ],0.0,61.0,0.0,61.0
Joachim Andersen,[121.25  14.25  13.5 ],4.0,149.0,8.0,145.0
Jordan Ayew,[189.25  55.25  37.5 ],30.0,256.0,30.0,256.0
Nathaniel Clyne,[107.25  21.25 134.5 ],0.0,267.0,6.0,261.0
Cheick DoucourÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Malcolm Ebiowei,[ 0.25  3.25 73.5 ],0.0,81.0,0.0,81.0
Odsonne Edouard,[46.25 47.25 18.5 ],18.0,98.0,6.0,110.0
Eberechi Eze,[76.25 36.25 40.5 ],26.0,131.0,19.0,138.0
Vicente Guaita,[134.25  15.25  79.5 ],0.0,233.0,0.0,233.0
Marc GuÃ©hi,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Will Hughes,[110.25  40.25  78.5 ],6.0,227.0,13.0,220.0
Sam Johnstone,[66.25  0.25 48.5 ],0.0,119.0,1.0,118.0
Jefferson Lerma SolÃ­s,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Jean-Philippe Mateta,[44.25 49.25 40.5 ],24.0,114.0,8.0,130.0
Remi Matthews,[  0.25   1.25 112.5 ],0.0,118.0,0.0,118.0
Tyrick Mitchell,[115.25  17.25  42.5 ],3.0,176.0,9.0,170.0
Jake O'Brien,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Michael Olise,[49.25 33.25 32.5 ],14.0,105.0,23.0,96.0
Luke Plange,[ 0.25  0.25 76.5 ],0.0,81.0,0.0,81.0
Chris Richards,[27.25  8.25 41.5 ],1.0,80.0,1.0,80.0
Jairo Riedewald,[ 32.25  48.25 182.5 ],2.0,265.0,0.0,267.0
Jeffrey Schlupp,[130.25  82.25  92.5 ],18.0,291.0,17.0,292.0
James Tomkins,[109.25  16.25 179.5 ],10.0,299.0,2.0,307.0
Joel Ward,[177.25  24.25 103.5 ],2.0,307.0,5.0,304.0
Joe Whitworth,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Dean Henderson,[ 70.25  15.25 105.5 ],0.0,195.0,1.0,194.0
Matheus FranÃ§a de Oliveira,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Jesurun Rak-Sakyi,[  1.25   7.25 114.5 ],0.0,127.0,0.0,127.0
John-Kymani Gordon,[ 0.25  0.25 72.5 ],0.0,77.0,0.0,77.0
Ademola Ola-Adebomi,[ 0.25  0.25 32.5 ],0.0,37.0,0.0,37.0
David Ozoh,[ 0.25 10.25 45.5 ],0.0,60.0,0.0,60.0
Jadan Raymond,[ 0.25  0.25 31.5 ],0.0,36.0,0.0,36.0
Tayo Adaramola,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Daniel MuÃ±oz,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Adam Wharton,[15.25  1.25  0.5 ],0.0,21.0,3.0,18.0
Franco Umeh-Chibueze,[ 0.25  0.25 14.5 ],0.0,19.0,0.0,19.0
Kaden Rodney,[ 0.25  0.25 48.5 ],0.0,53.0,0.0,53.0
Roshaun Mathurin,[ 0.25  0.25 10.5 ],0.0,15.0,0.0,15.0
AndrÃ© Tavares Gomes,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Jarrad Branthwaite,[ 42.25   3.25 116.5 ],4.0,162.0,1.0,165.0
Dominic Calvert-Lewin,[154.25  59.25  82.5 ],54.0,246.0,26.0,274.0
Seamus Coleman,[155.25  29.25 120.5 ],8.0,301.0,12.0,297.0
Dele Alli,[ 0.25  2.25 74.5 ],0.0,81.0,0.0,81.0
Abdoulaye DoucourÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
James Garner,[ 41.25  14.25 108.5 ],1.0,167.0,3.0,165.0
Jean-Philippe Gbamin,[  1.25   5.25 184.5 ],0.0,195.0,0.0,195.0
Ben Godfrey,[104.25   8.25  74.5 ],0.0,191.0,3.0,188.0
Demarai Gray,[ 91.25  97.25 116.5 ],19.0,290.0,18.0,291.0
Idrissa Gueye,[141.25  16.25  66.5 ],7.0,221.0,7.0,221.0
Michael Keane,[202.25  15.25  87.5 ],13.0,296.0,9.0,300.0
Dwight McNeil,[178.25  27.25  21.5 ],17.0,214.0,30.0,201.0
Vitalii Mykolenko,[56.25 19.25 22.5 ],3.0,99.0,3.0,99.0
Amadou Onana,[41.25 22.25 12.5 ],3.0,77.0,3.0,77.0
Nathan Patterson,[16.25 23.25 58.5 ],0.0,102.0,2.0,100.0
Jordan Pickford,[270.25  14.25  20.5 ],0.0,309.0,1.0,308.0
Ellis Simms,[  3.25   9.25 115.5 ],1.0,131.0,0.0,132.0
James Tarkowski,[239.25  31.25  34.5 ],9.0,300.0,10.0,299.0
JoÃ£o Neves VirgÃ­nia,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Andy Lonergan,[  0.25   0.25 139.5 ],0.0,144.0,0.0,144.0
Ashley Young,[133.25  35.25  98.5 ],5.0,266.0,13.0,258.0
Arnaut Danjuma Groeneveld,[10.25 18.25 48.5 ],1.0,80.0,1.0,80.0
Lewis Dobbin,[ 1.25 14.25 56.5 ],1.0,75.0,0.0,76.0
Youssef Ramalho Chermiti,[ 1.25 17.25 20.5 ],0.0,43.0,0.0,43.0
Thomas Cannon,[ 0.25  3.25 59.5 ],0.0,67.0,0.0,67.0
Tyler Onyango,[ 0.25  4.25 82.5 ],0.0,91.0,0.0,91.0
Jack Harrison,[106.25  30.25  15.5 ],24.0,132.0,22.0,134.0
Norberto Bercique Gomes Betuncal,[ 9.25 21.25  5.5 ],3.0,37.0,0.0,40.0
Mackenzie Hunt,[ 0.25  0.25 33.5 ],0.0,38.0,0.0,38.0
Jenson Metcalfe,[ 0.25  0.25 22.5 ],0.0,27.0,0.0,27.0
Elijah Campbell,[ 0.25  0.25 22.5 ],0.0,27.0,0.0,27.0
Lewis Warrington,[ 0.25  1.25 47.5 ],0.0,53.0,0.0,53.0
Billy Crellin,[0.25 0.25 1.5 ],0.0,6.0,0.0,6.0
Armando Broja,[28.25 38.25 58.5 ],8.0,121.0,5.0,124.0
Alex Iwobi,[167.25  73.25  64.5 ],20.0,289.0,33.0,276.0
Andreas Hoelgebaum Pereira,[53.25 17.25  6.5 ],7.0,74.0,19.0,62.0
Tom Cairney,[53.25 55.25 44.5 ],5.0,152.0,9.0,148.0
Ivan Neves Abreu Cavaleiro,[ 0.25  0.25 76.5 ],0.0,81.0,0.0,81.0
Bobby De Cordova-Reid,[33.25 36.25  7.5 ],10.0,71.0,4.0,77.0
Issa Diop,[122.25  17.25  89.5 ],7.0,226.0,2.0,231.0
Tyrese Francois,[ 0.25  2.25 75.5 ],0.0,82.0,0.0,82.0
Anthony Knockaert,[ 46.25  17.25 165.5 ],5.0,228.0,7.0,226.0
Terence Kongolo,[ 43.25   3.25 117.5 ],1.0,167.0,1.0,167.0
Bernd Leno,[161.25  14.25  54.5 ],0.0,234.0,0.0,234.0
SaÅ¡a LukiÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kevin Mbabu,[ 0.25  6.25 70.5 ],0.0,81.0,1.0,80.0
Aleksandar MitroviÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Rodrigo Muniz Carvalho,[18.25  8.25 50.5 ],9.0,72.0,2.0,79.0
JoÃ£o Palhinha GonÃ§alves,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Tim Ream,[65.25 19.25 68.5 ],2.0,155.0,0.0,157.0
Harrison Reed,[61.25 37.25 54.5 ],3.0,154.0,9.0,148.0
Antonee Robinson,[83.25 17.25 14.5 ],0.0,119.0,8.0,111.0
Marek RodÃ¡k,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Kenny Tete,[47.25 20.25 47.5 ],2.0,117.0,6.0,113.0
Tosin Adarabioyo,[64.25 14.25 32.5 ],3.0,112.0,1.0,114.0
Carlos VinÃ­cius Alves Morais,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Harry Wilson,[44.25 51.25 68.5 ],13.0,155.0,13.0,155.0
RaÃºl JimÃ©nez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Willian Borges da Silva,[44.25 14.25 13.5 ],9.0,67.0,10.0,66.0
Calvin Bassey,[25.25  4.25  9.5 ],1.0,42.0,0.0,43.0
Luc De Fougerolles,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Jay Stansfield,[ 0.25  3.25 73.5 ],0.0,81.0,1.0,80.0
Matthew Dibley-Dias,[ 0.25  0.25 42.5 ],0.0,47.0,0.0,47.0
Adama TraorÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Luke Harris,[ 0.25  4.25 70.5 ],0.0,79.0,0.0,79.0
Timothy Castagne,[102.25  23.25  24.5 ],6.0,148.0,11.0,143.0
Steven Benda,[ 0.25  0.25 35.5 ],0.0,40.0,0.0,40.0
FodÃ© Ballo-TourÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Devan Tanton,[ 0.25  0.25 29.5 ],0.0,34.0,0.0,34.0
Kristian Sekularac,[ 0.25  0.25 41.5 ],0.0,46.0,0.0,46.0
Joshua King,[138.25  35.25  52.5 ],47.0,183.0,19.0,211.0
AdriÃ¡n San Miguel del Castillo,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Trent Alexander-Arnold,[197.25  29.25  78.5 ],15.0,294.0,66.0,243.0
Alisson Ramses Becker,[187.25  14.25  27.5 ],1.0,232.0,3.0,230.0
Stefan Bajcetic,[ 6.25  6.25 64.5 ],1.0,80.0,0.0,81.0
Darwin NÃºÃ±ez Ribeiro,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Diogo Teixeira da Silva,[24.25 19.25 33.5 ],17.0,64.0,11.0,70.0
Harvey Elliott,[ 24.25  52.25 112.5 ],4.0,189.0,11.0,182.0
Fabio Henrique Tavares,[117.25  34.25  77.5 ],8.0,225.0,10.0,223.0
Cody Gakpo,[34.25 22.25  4.5 ],15.0,50.0,8.0,57.0
Joe Gomez,[17.25 15.25  6.5 ],0.0,43.0,2.0,41.0
Jordan Henderson,[158.25  46.25 100.5 ],10.0,299.0,23.0,286.0
Curtis Jones,[ 50.25  36.25 109.5 ],7.0,193.0,5.0,195.0
Caoimhin Kelleher,[ 15.25   0.25 171.5 ],0.0,191.0,0.0,191.0
Ibrahima KonatÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Luis DÃ­az,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Alexis Mac Allister,[86.25 45.25 33.5 ],21.0,148.0,10.0,159.0
Joel Matip,[130.25  20.25 154.5 ],9.0,300.0,5.0,304.0
Nathaniel Phillips,[ 16.25   3.25 147.5 ],1.0,170.0,1.0,170.0
Andrew Robertson,[227.25  24.25  53.5 ],11.0,298.0,60.0,249.0
Mohamed Salah,[219.25  31.25  16.5 ],155.0,116.0,79.0,192.0
Dominik Szoboszlai,[25.25  8.25  5.5 ],3.0,40.0,4.0,39.0
Thiago AlcÃ¡ntara do Nascimento,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Konstantinos Tsimikas,[ 22.25  26.25 104.5 ],0.0,157.0,9.0,148.0
Sepp van den Berg,[ 0.25  0.25 76.5 ],0.0,81.0,0.0,81.0
Virgil van Dijk,[215.25  15.25  74.5 ],19.0,290.0,12.0,297.0
Jarell Quansah,[13.25  4.25 42.5 ],2.0,62.0,0.0,64.0
Bobby Clark,[ 1.25  5.25 69.5 ],0.0,80.0,0.0,80.0
Ben Doak,[ 0.25  3.25 60.5 ],0.0,68.0,0.0,68.0
James McConnell,[ 0.25  3.25 35.5 ],0.0,43.0,0.0,43.0
Wataru Endo,[20.25  9.25  8.5 ],1.0,41.0,0.0,42.0
Ryan Gravenberch,[12.25 14.25  8.5 ],1.0,38.0,0.0,39.0
Luke Chambers,[ 0.25  0.25 69.5 ],0.0,74.0,0.0,74.0
Callum Scanlon,[ 0.25  0.25 30.5 ],0.0,35.0,0.0,35.0
Treymaurice Nyoni,[ 0.25  0.25 27.5 ],0.0,32.0,0.0,32.0
Marcelo de AraÃºjo Pitaluga Filho,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Conor Bradley,[10.25  1.25 40.5 ],1.0,55.0,3.0,53.0
Owen Beck,[ 0.25  1.25 44.5 ],0.0,50.0,0.0,50.0
Kaide Gordon,[ 0.25  2.25 43.5 ],0.0,50.0,0.0,50.0
Lewis Koumas,[ 0.25  0.25 15.5 ],0.0,20.0,0.0,20.0
Fabian Mrozek,[ 0.25  0.25 15.5 ],0.0,20.0,0.0,20.0
Jayden Danns,[ 0.25  2.25 12.5 ],0.0,19.0,0.0,19.0
Amara Nallo,[ 0.25  0.25 11.5 ],0.0,16.0,0.0,16.0
Albert Sambi Lokonga,[34.25 17.25 63.5 ],1.0,118.0,3.0,116.0
Marvelous Nakamba,[ 53.25  18.25 119.5 ],0.0,195.0,1.0,194.0
Elijah Adebayo,[16.25 11.25 11.5 ],10.0,33.0,1.0,42.0
Mads Juel Andersen,[ 4.25  4.25 30.5 ],1.0,42.0,0.0,43.0
Amari'i Bell,[21.25  0.25 17.5 ],0.0,43.0,0.0,43.0
Luke Berry,[ 2.25 15.25 21.5 ],2.0,41.0,1.0,42.0
Reece Burke,[20.25  2.25 69.5 ],0.0,96.0,4.0,92.0
Allan Campbell,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Jordan Clark,[14.25  9.25 15.5 ],1.0,42.0,1.0,42.0
Alfie Doughty,[34.25  3.25  1.5 ],2.0,41.0,10.0,33.0
Luke Freeman,[  4.25   7.25 103.5 ],0.0,119.0,0.0,119.0
Matt Macey,[  0.25   0.25 124.5 ],0.0,129.0,0.0,129.0
John McAtee,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Carlos Mendes Gomes,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Carlton Morris,[32.25  6.25  0.5 ],11.0,32.0,6.0,37.0
Admiral Muskwe,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Chiedozie Ogbene,[20.25 10.25  8.5 ],4.0,39.0,4.0,39.0
Fred Onyedinma,[ 4.25  4.25 30.5 ],0.0,43.0,0.0,43.0
Gabriel Osho,[21.25  0.25 17.5 ],2.0,41.0,0.0,43.0
Aribim Pepple,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Dion Pereira,[ 0.25  2.25 45.5 ],0.0,52.0,0.0,52.0
Dan Potts,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Glen Rea,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
James Shea,[ 0.25  1.25 37.5 ],0.0,43.0,0.0,43.0
Joe Taylor,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Elliot Thorpe,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Jack Walton,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Louie Watson,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Cauley Woodrow,[ 2.25 22.25 14.5 ],1.0,42.0,1.0,42.0
Teden Mengi,[28.25  2.25 47.5 ],1.0,81.0,0.0,82.0
Ryan Giles,[ 5.25  6.25 62.5 ],0.0,78.0,0.0,78.0
Tom Lockyer,[14.25  0.25 24.5 ],1.0,42.0,1.0,42.0
Pelly Ruddock Mpanzu,[11.25 16.25 11.5 ],0.0,43.0,0.0,43.0
Tahith Chong,[20.25 18.25 87.5 ],4.0,126.0,2.0,128.0
Issa KaborÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Thomas Kaminski,[38.25  0.25  0.5 ],0.0,43.0,0.0,43.0
Ross Barkley,[107.25  43.25 155.5 ],18.0,292.0,28.0,282.0
Jacob Brown,[12.25  7.25 19.5 ],2.0,41.0,1.0,42.0
Aidan Francis-Clarke,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Tim Krul,[65.25  0.25 83.5 ],0.0,153.0,0.0,153.0
Joseph Johnson,[ 0.25  2.25 35.5 ],0.0,42.0,0.0,42.0
Andros Townsend,[166.25  50.25  80.5 ],17.0,284.0,33.0,268.0
Jayden Luker,[ 0.25  0.25 30.5 ],0.0,35.0,0.0,35.0
Zack Nelson,[ 0.25  2.25 26.5 ],0.0,33.0,0.0,33.0
Daiki Hashioka,[6.25 4.25 7.5 ],0.0,22.0,0.0,22.0
Axel Piesold,[ 0.25  0.25 13.5 ],0.0,18.0,0.0,18.0
Dominic Dos Santos Martins,[ 0.25  0.25 12.5 ],0.0,17.0,0.0,17.0
Christian Chigozie,[0.25 0.25 8.5 ],0.0,13.0,0.0,13.0
Taylan Harris,[0.25 0.25 6.5 ],0.0,11.0,0.0,11.0
Manuel Akanji,[45.25 14.25 12.5 ],2.0,74.0,1.0,75.0
Nathan AkÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
JuliÃ¡n Ãlvarez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Bernardo Veiga de Carvalho e Silva,[42.25 25.25  9.5 ],10.0,71.0,15.0,66.0
Oscar Bobb,[ 2.25 12.25 24.5 ],1.0,42.0,2.0,41.0
JoÃ£o Cancelo,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Scott Carson,[  1.25   0.25 164.5 ],0.0,170.0,0.0,170.0
Shea Charles,[ 0.25  1.25 40.5 ],0.0,46.0,0.0,46.0
Kevin De Bruyne,[188.25  44.25  73.5 ],61.0,249.0,113.0,197.0
RÃºben Gato Alves Dias,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ederson Santana de Moraes,[235.25  15.25  17.5 ],0.0,272.0,3.0,269.0
Phil Foden,[ 97.25  67.25 103.5 ],54.0,218.0,32.0,240.0
Jack Grealish,[109.25  27.25  54.5 ],25.0,170.0,33.0,162.0
Erling Haaland,[51.25 15.25 10.5 ],63.0,18.0,17.0,64.0
Mateo KovaÄiÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Aymeric Laporte,[111.25  10.25 122.5 ],8.0,240.0,5.0,243.0
Rico Lewis,[18.25 12.25 46.5 ],2.0,79.0,0.0,81.0
Riyad Mahrez,[156.25  61.25  88.5 ],61.0,249.0,62.0,248.0
Stefan Ortega Moreno,[ 8.25  4.25 64.5 ],0.0,81.0,0.0,81.0
MÃ¡ximo Perrone,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Rodrigo Hernandez,[146.25  26.25  19.5 ],22.0,174.0,22.0,174.0
Sergio GÃ³mez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Zack Steffen,[  2.25   0.25 150.5 ],0.0,157.0,0.0,157.0
John Stones,[127.25  33.25 145.5 ],8.0,302.0,2.0,308.0
Kyle Walker,[203.25  27.25  75.5 ],3.0,307.0,25.0,285.0
Matheus Luiz Nunes,[28.25 25.25 21.5 ],1.0,78.0,3.0,76.0
JoÅ¡ko Gvardiol,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
JÃ©rÃ©my Doku,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Mahamadou Susoho,[ 0.25  0.25 22.5 ],0.0,27.0,0.0,27.0
Micah Hamilton,[ 0.25  0.25 21.5 ],0.0,26.0,0.0,26.0
Jacob Wright,[ 0.25  0.25 16.5 ],0.0,21.0,0.0,21.0
Mason Mount,[103.25  40.25  47.5 ],28.0,167.0,28.0,167.0
Alex Telles,[ 0.25  0.25 76.5 ],0.0,81.0,0.0,81.0
Amad Diallo,[  5.25   7.25 108.5 ],1.0,124.0,2.0,123.0
Antony Matheus dos Santos,[32.25 22.25 17.5 ],5.0,71.0,3.0,73.0
Bruno Borges Fernandes,[60.25 12.25  4.5 ],18.0,63.0,18.0,63.0
Brandon Williams,[ 36.25  11.25 137.5 ],1.0,188.0,2.0,187.0
Eric Bailly,[ 55.25  15.25 234.5 ],1.0,308.0,0.0,309.0
Carlos Henrique Casimiro,[42.25 11.25 20.5 ],5.0,73.0,6.0,72.0
Diogo Dalot Teixeira,[46.25 16.25 14.5 ],3.0,78.0,5.0,76.0
Christian Eriksen,[149.25  40.25  54.5 ],32.0,216.0,59.0,189.0
Ãlvaro FernÃ¡ndez Carreras,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Frederico Rodrigues de Paula Santos,[92.25 47.25 89.5 ],8.0,225.0,10.0,223.0
Alejandro Garnacho,[34.25 21.25 21.5 ],10.0,71.0,9.0,72.0
Hannibal Mejbri,[ 2.25  6.25 46.5 ],1.0,58.0,0.0,59.0
Tom Heaton,[ 77.25   1.25 226.5 ],0.0,309.0,0.0,309.0
Victor LindelÃ¶f,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Harry Maguire,[213.25  25.25  66.5 ],13.0,296.0,14.0,295.0
Kobbie Mainoo,[24.25  1.25 43.5 ],3.0,70.0,1.0,72.0
Tyrell Malacia,[ 9.25 13.25 54.5 ],0.0,81.0,0.0,81.0
Anthony Martial,[117.25  61.25 126.5 ],52.0,257.0,36.0,273.0
Lisandro MartÃ­nez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Scott McTominay,[106.25  70.25  95.5 ],18.0,258.0,7.0,269.0
Facundo Pellistri Rebollo,[ 1.25 12.25 63.5 ],0.0,81.0,1.0,80.0
RaphaÃ«l Varane,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
